ADC Count,Level %
42177,3
43008,4
43603,5
44083,6
44574,7
44924,8
45074,9
45393,10
45679,11
45928,12
46204,13
46422,14
46641,15
46854,16
47072,17
47268,18
47469,19
47679,20
47839,21
48035,22
48240,23
48340,24
48507,25
48708,26
48854,27
49002,28
49191,29
49350,30
49551,31
49703,32
49863,33
49997,34
50161,35
50301,36
50463,37
50610,38
50754,39
50895,40
51025,41
51185,42
51321,43
51463,44
51611,45
51751,46
51877,47
52028,48
52145,49
52293,50
52440,51
52562,52
52694,53
52827,54
53008,55
53128,56
53280,57
53418,58
53553,59
53707,60
53900,61
53986,62
54142,63
54294,64
54419,65
54609,66
54778,67
54935,68
55092,69
55258,70
55428,71
55613,72
55784,73
55950,74
56127,75
56289,76
56516,77
56685,78
56884,79
57085,80
57312,81
57530,82
57737,83
57958,84
58187,85
58399,86
58632,87
58895,88
59163,89
59476,90
59778,91
60141,92
60521,93
60930,94
61457,95
62036,96
62854,97
