NO,Persen,Liter,Selisih (Liter)
1,0.00,0,37
2,0.03,37,67
3,0.09,104,88
4,0.17,192,104
5,0.26,296,116
6,0.36,412,129
7,0.48,541,141
8,0.60,682,151
9,0.74,833,160
10,0.88,993,170
11,1.03,1163,0
12,1.03,1163,178
13,1.19,1341,186
14,1.35,1527,194
15,1.52,1721,201
16,1.70,1922,209
17,1.88,2131,-968
18,1.03,1163,1183
19,2.08,2346,220
20,2.27,2566,231
21,2.47,2797,235
22,2.68,3032,240
23,2.89,3272,-2109
24,1.03,1163,2356
25,3.11,3519,252
26,3.34,3771,258
27,3.56,4029,263
28,3.80,4292,268
29,4.03,4560,274
30,4.28,4834,278
31,4.52,5112,283
32,4.77,5395,288
33,5.03,5683,293
34,5.29,5976,298
35,5.55,6274,301
36,5.82,6575,0
37,5.82,6575,307
38,6.09,6882,310
39,6.36,7192,315
40,6.64,7507,318
41,6.92,7825,323
42,7.21,8148,327
43,7.50,8475,330
44,7.79,8805,335
45,8.08,9140,338
46,8.38,9478,342
47,8.69,9820,345
48,8.99,10165,349
49,9.30,10514,353
50,9.61,10867,356
51,9.93,11223,1456
52,11.21,12679,372
53,11.54,13051,375
54,11.88,13426,379
55,12.21,13805,381
56,12.55,14186,384
57,12.89,14570,387
58,13.23,14957,390
59,13.57,15347,392
60,13.92,15739,396
61,14.27,16135,398
62,14.62,16533,400
63,14.98,16933,403
64,15.33,17336,406
65,15.69,17742,409
66,16.05,18151,410
67,16.42,18561,414
68,16.78,18975,415
69,17.15,19390,418
70,17.52,19808,420
71,17.89,20228,423
72,18.27,20651,425
73,18.64,21076,427
74,19.02,21503,429
75,19.40,21932,431
76,19.78,22363,433
77,20.16,22796,436
78,20.55,23232,437
79,20.94,23669,439
80,21.32,24108,442
81,21.71,24550,443
82,22.11,24993,445
83,22.50,25438,447
84,22.90,25885,448
85,23.29,26333,415
86,23.66,26748,488
87,24.09,27236,454
88,24.49,27690,455
89,24.89,28145,458
90,25.30,28603,458
91,25.70,29061,461
92,26.11,29522,462
93,26.52,29984,463
94,26.93,30447,465
95,27.34,30912,466
96,27.75,31378,468
97,28.17,31846,469
98,28.58,32315,471
99,29.00,32786,471
100,29.42,33257,473
101,29.83,33730,475
102,30.25,34205,475
103,30.67,34680,477
104,31.10,35157,478
105,31.52,35635,479
106,31.94,36114,480
107,32.37,36594,481
108,32.79,37075,483
109,33.22,37558,483
110,33.65,38041,485
111,34.08,38526,485
112,34.51,39011,486
113,34.94,39497,487
114,35.37,39984,489
115,35.80,40473,488
116,36.23,40961,490
117,36.66,41451,491
118,37.10,41942,491
119,37.53,42433,492
120,37.97,42925,493
121,38.40,43418,-506
122,37.96,42912,1494
123,39.28,44406,495
124,39.72,44901,495
125,40.15,45396,496
126,40.59,45892,497
127,41.03,46389,497
128,41.47,46886,498
129,41.91,47384,498
130,42.35,47882,499
131,42.79,48381,499
132,43.23,48880,499
133,43.68,49379,500
134,44.12,49879,500
135,44.56,50379,501
136,45.00,50880,500
137,45.45,51380,501
138,45.89,51881,-498
139,45.45,51383,1501
140,46.78,52884,502
141,47.22,53386,502
142,47.66,53888,502
143,48.11,54390,502
144,48.55,54892,502
145,49.00,55394,502
146,49.44,55896,503
147,49.89,56399,502
148,50.33,56901,502
149,50.77,57403,502
150,51.22,57905,503
151,51.66,58408,502
152,52.11,58910,502
153,52.55,59412,501
154,52.99,59913,502
155,53.44,60415,501
156,53.88,60916,502
157,54.32,61418,500
158,54.77,61918,501
159,55.21,62419,500
160,55.65,62919,500
161,56.09,63419,500
162,56.54,63919,499
163,56.98,64418,499
164,57.42,64917,499
165,57.86,65416,498
166,58.30,65914,497
167,58.74,66411,497
168,59.18,66908,496
169,59.62,67404,496
170,60.06,67900,495
171,60.50,68395,495
172,60.93,68890,494
173,61.37,69384,493
174,61.81,69877,493
175,62.24,70370,491
176,62.68,70861,491
177,63.11,71352,491
178,63.55,71843,489
179,63.98,72332,489
180,64.41,72821,487
181,64.84,73308,487
182,65.27,73795,486
183,65.70,74281,485
184,66.13,74766,484
185,66.56,75250,483
186,66.99,75733,518
187,67.44,76251,444
188,67.84,76695,480
189,68.26,77175,479
190,68.69,77654,477
191,69.11,78131,476
192,69.53,78607,475
193,69.95,79082,474
194,70.37,79556,473
195,70.79,80029,471
196,71.20,80500,470
197,71.62,80970,468
198,72.03,81438,467
199,72.45,81905,466
200,72.86,82371,464
201,73.27,82835,463
202,73.68,83298,461
203,74.09,83759,460
204,74.49,84219,458
205,74.90,84677,456
206,75.30,85133,455
207,75.70,85588,453
208,76.10,86041,451
209,76.50,86492,450
210,76.90,86942,448
211,77.30,87390,446
212,77.69,87836,444
213,78.08,88280,442
214,78.48,88722,441
215,78.87,89163,438
216,79.25,89601,437
217,79.64,90038,434
218,80.02,90472,433
219,80.41,90905,430
220,80.79,91335,428
221,81.17,91763,426
222,81.54,92189,424
223,81.92,92613,421
224,82.29,93034,1419
225,83.54,94453,417
226,83.91,94870,-585
227,83.40,94285,412
228,83.76,94697,410
229,84.12,95107,507
230,84.57,95614,305
231,84.84,95919,402
232,85.20,96321,399
233,85.55,96720,397
234,85.90,97117,394
235,86.25,97511,391
236,86.60,97902,389
237,86.94,98291,476
238,87.36,98767,292
239,87.62,99059,380
240,87.95,99439,377
241,88.29,99816,374
242,88.62,100190,370
243,88.95,100560,368
244,89.27,100928,364
245,89.59,101292,361
246,89.91,101653,358
247,90.23,102011,454
248,90.63,102465,251
249,90.85,102716,348
250,91.16,103064,343
251,91.46,103407,341
252,91.77,103748,336
253,92.06,104084,333
254,92.36,104417,654
255,92.94,105071,321
256,93.22,105392,316
257,93.50,105708,622
258,94.05,106330,304
259,94.32,106634,300
260,94.58,106934,295
261,94.85,107229,291
262,95.10,107520,286
263,95.36,107806,281
264,95.60,108087,276
265,95.85,108363,271
266,96.09,108634,266
267,96.32,108900,261
268,96.55,109161,255
269,96.78,109416,250
270,97.00,109666,244
271,97.22,109910,238
272,97.43,110148,231
273,97.63,110379,226
274,97.83,110605,219
275,98.02,110824,212
276,98.21,111036,206
277,98.39,111242,198
278,98.57,111440,190
279,98.74,111630,183
280,98.90,111813,174
281,99.05,111987,166
282,99.20,112153,156
283,99.34,112309,146
284,99.47,112455,136
285,99.59,112591,124
286,99.70,112715,111
287,99.80,112826,96
288,99.88,112922,79
289,99.95,113001,56
290,100.00,113057,
